0	0	1903
0	1	2011
0	2	1945
0	3	1872
0	4	1940
0	5	1994
0	6	1925
0	7	1850
0	8	1843
0	9	1879
0	10	1912
0	11	1866
0	12	1879
0	13	1920
0	14	1965
0	15	1868
0	16	1921
0	17	1951
0	18	1890
0	19	1889
0	20	1940
0	21	1654
0	22	1838
0	23	1894
0	24	1913
0	25	1876
0	26	1915
0	27	2017
0	28	1928
0	29	2002
0	30	2032
0	31	1887
0	32	2008
0	33	1971
0	34	2058
0	35	1936
0	36	2059
0	37	1928
0	38	2056
0	39	2079
0	40	2057
0	41	1986
0	42	1996
0	43	1999
0	44	2021
0	45	2001
0	46	2041
0	47	2085
0	48	2043
0	49	2028
0	50	2035
0	51	1999
0	52	2030
0	53	2076
0	54	2029
0	55	2049
0	56	2037
0	57	2008
0	58	2181
0	59	2117
1	0	2015
1	1	2194
1	2	2070
1	3	1995
1	4	2235
1	5	1989
1	6	2127
1	7	2199
1	8	2184
1	9	2119
1	10	2185
1	11	2146
1	12	2207
1	13	2076
1	14	2052
1	15	2123
1	16	2125
1	17	2224
1	18	2142
1	19	2143
1	20	2156
1	21	2154
1	22	2108
1	23	2211
1	24	2103
1	25	2085
1	26	2162
1	27	2033
1	28	2240
1	29	2070
1	30	2126
1	31	2128
1	32	2113
1	33	2061
1	34	2170
1	35	2158
1	36	2105
1	37	2110
1	38	2184
1	39	2083
1	40	2054
1	41	2136
1	42	2136
1	43	2295
1	44	2047
1	45	2215
1	46	2077
1	47	2111
1	48	2111
1	49	2012
1	50	2120
1	51	2133
1	52	2120
1	53	2144
1	54	2146
1	55	2101
1	56	2014
1	57	2085
1	58	2107
1	59	2061
2	0	2089
2	1	2107
2	2	2021
2	3	2116
2	4	2077
2	5	2002
2	6	1965
2	7	2089
2	8	1912
2	9	2144
2	10	2060
2	11	2094
2	12	2088
2	13	2010
2	14	1961
2	15	2126
2	16	1977
2	17	2026
2	18	2054
2	19	2162
2	20	2100
2	21	2147
2	22	2047
2	23	2009
2	24	2126
2	25	2060
2	26	2132
2	27	2104
2	28	2089
2	29	2017
2	30	2047
2	31	2061
2	32	2093
2	33	2021
2	34	2117
2	35	2104
2	36	2127
2	37	2087
2	38	2132
2	39	2072
2	40	2121
2	41	2112
2	42	2072
2	43	2148
2	44	2138
2	45	2077
2	46	2071
2	47	2009
2	48	2109
2	49	2114
2	50	2089
2	51	2064
2	52	2093
2	53	2130
2	54	2034
2	55	2086
2	56	2024
2	57	2054
2	58	2024
2	59	2027
3	0	2146
3	1	2006
3	2	2039
3	3	2123
3	4	2019
3	5	2013
3	6	1959
3	7	2032
3	8	2024
3	9	2056
3	10	2160
3	11	2180
3	12	2044
3	13	2056
